\btekir(?:ova)?\b;Tekirova
\bçamyuva\b;Çamyuva
\bkaleiçi\b|\bmuratpa[şs]a\b;Kaleiçi - Muratpaşa
\blara\b;Lara
\bkemer\b;Kemer
\bgöynük\b;Göynük
\bbel­dibi\b;Beldibi
\bkonyaalt[ıi]\b;Konyaaltı
\bkundu\b;Kundu
\baksu\b;Aksu
\bside\b;Side
\bserik\b;Serik
\bmanavgat\b;Manavgat
\bgündoğdu\b;Gündoğdu
\bcolakli\b;Çolaklı
\bevrenseki\b;Evrenseki
\bkumköy\b;Kumköy
\bkızılot\b;Kızılot
\bkızılğaç\b;Kızılğaç
\bokurcalar\b;Okurcalar
\bincekum\b;İncekum
\bavsallar\b;Avsallar
\btürkler\b;Türkler
\bpayallar\b;Payallar
\bkonaklı\b;Konaklı
\boba\b;Oba
\btosmur\b;Tosmur
\bkestel\b;Kestel
\bmahmutlar\b;Mahmutlar
\balanya\b;Alanya
